ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
AMA,บริการ,,33/4 อาคารเดอะไนน์ ทาวเวอร์ ชั้นที่ 33 ทาวเวอร์ เอ ห้องเลขที่ TNA02 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310,0-2001-2801,0-2001-2800,http://www.amamarine.co.th,0.50 บาท,517.92,2413.49,4.66,4.52,1.03,16.66,10.79,2.57,0.71,-9.51,,-,ไม่ต่ำกว่าร้อยละ 25 ของกำไรสุทธิของงบการเงินเฉพาะบริษัทภายหลังจากหักภาษีและทุนสำรองตามกฎหมายและเงินสำรองอื่น (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),บริษัท รัชกิจ โฮลดิ้ง จำกัด,130100000,25.12,4080.99,1671.11,2340.90,258.96,606.60,11.72,-0.48,-
AMANAH,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,16-16/1 ซอยเกษมสันต์ 1 ถนนพญาไท แขวงวังใหม่ เขตปทุมวัน กทม. 10330,0-2091-6456,0-2030-6401,http://www.amanah.co.th,1.00 บาท,1036.11,5035.50,4.86,1.74,2.80,16.64,95.01,49.02,1.72,-10.83,3.29,0.55,ไม่ต่ำกว่าร้อยละ 40 จากกำไรสุทธิของงบการเงินรวมในแต่ละงวดบัญชีหลังจากหักสำรองตามกฏหมายและขาดทุนสะสมยกมาแล้ว (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),ธนาคาร อิสลามแห่งประเทศไทย,500080000,48.27,3789.52,1991.22,1798.30,1036.11,214.19,-,74.76,0.07
AMARIN,บริการ,สื่อและสิ่งพิมพ์,เลขที่ 378 ถนนชัยพฤกษ์ แขวงตลิ่งชัน เขตตลิ่งชัน กทม. 10170,0-2422-9999,"0-2434-3555, 0-2434-3777",http://www.amarin.com,1.00 บาท,998.28,6438.92,6.45,4.54,1.42,20.11,0.51,0.30,0.10,7.50,2.95,0.59,ไม่น้อยกว่าร้อยละ 60 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลของบริษัทฯ จากผลการดำเนินงานและฐานะการเงินในแต่ละปี ทัังนี้ นโยบายดังกล่าวอาจมีการเปลี่ยนแปลงได้ในกรณีที่บริษัทฯ มีความจำเป็นอื่นใด,บริษัท วัฒนภักดี จำกัด,602427400,60.35,5871.48,1343.12,4528.35,998.28,998.64,5.06,113.97,0.11
AMATA,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารกรมดิษฐ์ 2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10320,"0-2318-0007, 0-2792-0000",0-2318-1096,http://www.amata.com,1.00 บาท,1150.00,22885.00,19.90,15.93,1.25,12.93,82.60,189.76,1.61,-5.24,2.01,0.26,ประมาณร้อยละ 40 ของกำไรสุทธิหลังภาษีเงินได้นิติบุคคลและทุนสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย วิกรม กรมดิษฐ์,301652396,26.23,45582.61,22762.16,18317.13,1150.00,1110.79,711.72,553.47,0.48
AMATAR,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,2126 อาคารกรมดิษฐ์ ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10320,0-2792-0089,0-2792-0090,http://www.amatareit.com,9.405 บาท,357.89,2666.28,7.45,9.95,0.75,-,0.95,0.26,0.31,-15.34,6.38,,ไม่น้อยกว่าร้อยละเก้าสิบของกำไรสุทธิที่ปรับปรุงแล้วและจะจ่ายผลประโยชน์ตอบแทนให้แก่ผู้ถือหน่วยทรัสต์ฯ ไม่เกินสี่ครั้งต่อรอบปีบัญชี (โดยมีเงื่อนไขเพิ่มเติม),-1.32,-0.50,-0.41,4891.74,1329.39,-,-,87.38,0.46,-,-
AMATAV,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,2126 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม. 10310,0-2792-0000,0-2318-1096,http://www.amatavn.com,0.50 บาท,935.00,7106.00,7.60,5.03,1.51,6.39,1.30,0.86,0.87,4.83,0.66,0.04,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีและหลังหักสำรองตามกฎหมายตามงบการเงินเฉพาะกิจการของบริษัทฯ (โดยมีเงื่อนไเพิ่มเติม),บริษัท อมตะ คอร์ปอเรชัน จำกัด (มหาชน),342543560,36.64,12111.55,6620.18,4706.90,467.50,802.88,-,474.58,0.51
AMC,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"55, 55/1 หมู่ที่ 2 ซอยวัดหนามแดง ถนนศรีนครินทร์ ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ 10540",0-2383-4100,0-2383-4101-2,http://www.asiametal.co.th,1.00 บาท,480.10,2054.81,4.28,6.62,0.65,2.61,73.47,18.12,1.55,-11.93,7.94,0.21,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษี จากงบการเงินเฉพาะกิจการ เว้นแต่ในกรณีที่บริษัทมีโครงการจะลงทุนในโครงการอื่น,นาย ชูศักดิ์ ยงวงศ์ไพบูลย์,76700000,15.98,3904.27,725.39,3178.88,480.10,1609.37,40.16,102.69,0.21
AMR,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 469 ซอยประวิทย์และเพื่อน ถนนประชาชื่น แขวงลาดยาว เขตจตุจักร กทม. 10900,0-2589-9955,0-2591-7022,https://www.amrasia.com,0.50 บาท,600.00,3330.00,5.55,2.47,2.24,16.53,57.67,19.88,1.04,-11.20,2.88,0.48,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคล และเงินสำรองต่างๆ ทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),นาง สุชาดา มงคลดี,76930200,12.82,2302.71,819.23,1483.48,300.00,469.37,0.61,52.15,0.09
ANAN,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 99/1 หมู่ที่ 14 ซอยหมู่บ้านวินด์มิลล์ ถนนบางนา-ตราด (ก.ม.10.5) ตำบลบางพลีใหญ่ อำเภอบางพลี สมุทรปราการ 10540,0-2317-1155,0-2317-1100,http://www.ananda.co.th,0.10 บาท,4166.25,5499.45,1.32,3.55,0.37,,38.22,22.26,1.58,-19.02,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีและหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาย ชานนท์ เรืองกฤตยา,1392952464,33.43,39382.57,23491.88,14777.38,416.62,778.29,-58.81,-281.26,-0.10
AOT,บริการ,ขนส่งและโลจิสติกส์,333 หมู่ที่ 7 ถนนเชิดวุฒากาศ แขวงสีกัน เขตดอนเมือง กทม. 10210,0-2535-1111,"0-2531-5559, 0-2535-4061",http://www.airportthai.co.th,1.00 บาท,14285.70,982141.88,68.75,7.33,9.38,,21.02,1868.79,1.15,12.70,,,ไม่ต่ำกว่าร้อยละ 25 ของกำไรสุทธิที่เหลือหลังหักสำรองต่าง ๆ ทุกประเภทที่บริษัทได้กำหนดไว้ อย่างไรก็ตาม การจ่ายเงินปันผลดังกล่าวจะขึ้นอยู่กับแผนการลงทุน ความจำเป็น และความเหมาะสมอื่น ๆ ในอนาคต,กระทรวงการคลัง,10000000000,70.00,182510.26,76608.55,104720.08,14285.70,5666.09,159.28,-7548.12,-0.53
AP,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารโอเชี่ยนทาวเวอร์ 1 ชั้น 18, 170/57 ถนนรัชดาภิเษกตัดใหม่ แขวงคลองเตย เขตคลองเตย กทม. 10110","0-2261-2518-22, 0-2261-2285-7",0-2261-2548-9,http://www.apthai.com,1.00 บาท,3145.90,32717.35,10.40,10.86,0.96,6.72,57.81,184.79,0.91,8.90,4.81,0.32,ไม่เกินร้อยละ 50 ของกำไรสุทธิในแต่ละปี,นาย อนุพงษ์ อัศวโภคิน,670047561,21.30,60873.19,26720.00,34171.59,3145.90,10857.78,246.86,1729.91,0.55
APCO,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,เลขที่ 84/3 หมู่ 4 นิคมอุตสาหกรรมภาคเหนือ (ฝั่งตะวันตก) ถนนทางหลวงหมายเลข 11 ตำบลบ้านกลาง อำเภอเมือง ลำพูน 51000,0-5358-1374,0-5358-1375,http://www.apco.co.th,0.50 บาท,600.00,3090.00,5.15,1.02,5.03,41.32,9.85,3.05,1.11,-18.90,2.40,0.99,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล และทุนสำรองต่างๆทั้งหมดแล้ว,ดร. พิเชษฐ์ วิริยะจิตรา,295560500,49.26,694.64,80.29,614.11,300.00,58.19,0.15,15.32,0.03
